Title,Year,Rating,Votes,Runtime (Minutes),Revenue (Millions),Metascore,Director
L'avenir,2016,7.1,5796,102,0.28,88.0,Mia Hansen-Løve
Anna Karenina,2012,6.6,75291,129,12.8,63.0,Joe Wright
Regression,2015,5.7,26320,106,0.05,32.0,Alejandro Amenábar
Ted 2,2015,6.3,136323,115,81.26,48.0,Seth MacFarlane
Pain & Gain,2013,6.5,168875,129,49.87,45.0,Michael Bay
Blood Diamond,2006,8.0,422014,143,57.37,64.0,Edward Zwick
Devil's Knot,2013,6.1,15514,114,47.985,42.0,Atom Egoyan
Child 44,2015,6.5,47703,137,1.21,41.0,Daniel Espinosa
The Hurt Locker,2008,7.6,352023,131,15.7,94.0,Kathryn Bigelow
Green Lantern,2011,5.6,231907,114,116.59,39.0,Martin Campbell
War on Everyone,2016,5.9,9285,98,47.985,50.0,John Michael McDonagh
The Mist,2007,7.2,233346,126,25.59,58.0,Frank Darabont
Escape Plan,2013,6.7,188004,115,25.12,49.0,Mikael Håfström
"Love, Rosie",2014,7.2,80415,102,0.01,44.0,Christian Ditter
The DUFF,2015,6.5,57874,101,34.02,56.0,Ari Sandel
The Age of Shadows,2016,7.2,2403,140,0.54,78.0,Jee-woon Kim
The Hunger Games: Mockingjay - Part 1,2014,6.7,331902,123,337.1,64.0,Francis Lawrence
We Need to Talk About Kevin,2011,7.5,104953,112,1.74,68.0,Lynne Ramsay
Love & Friendship,2016,6.5,16164,90,14.01,87.0,Whit Stillman
The Mortal Instruments: City of Bones,2013,5.9,112313,130,31.17,33.0,Harald Zwart
Seven Pounds,2008,7.7,245144,123,69.95,36.0,Gabriele Muccino
The King's Speech,2010,8.0,534388,118,138.8,88.0,Tom Hooper
Hunger,2008,7.6,54486,96,0.15,82.0,Steve McQueen
Jumper,2008,6.1,252503,88,80.17,35.0,Doug Liman
Toy Story 3,2010,8.3,586669,103,414.98,92.0,Lee Unkrich
Tinker Tailor Soldier Spy,2011,7.1,157053,122,24.1,85.0,Tomas Alfredson
Resident Evil: Retribution,2012,5.4,114144,96,42.35,39.0,Paul W.S. Anderson
Dear Zindagi,2016,7.8,23540,151,1.4,56.0,Gauri Shinde
Genius,2016,6.5,10708,104,1.36,59.5,Michael Grandage
Pompeii,2014,5.5,90188,105,23.22,39.0,Paul W.S. Anderson
Life of Pi,2012,7.9,471109,127,124.98,79.0,Ang Lee
Hachi: A Dog's Tale,2009,8.1,177602,93,47.985,61.0,Lasse Hallström
10 Years,2011,6.1,19636,100,0.2,59.5,Jamie Linden
I Origins,2014,7.3,86271,106,0.33,57.0,Mike Cahill
Live Free or Die Hard,2007,7.2,347567,128,134.52,69.0,Len Wiseman
The Matchbreaker,2016,5.5,1427,94,47.985,44.0,Caleb Vetter
Funny Games,2007,6.5,73835,111,1.29,59.5,Michael Haneke
Ted,2012,7.0,494641,106,218.63,62.0,Seth MacFarlane
RED,2010,7.1,250012,111,90.36,60.0,Robert Schwentke
Australia,2008,6.6,106115,165,49.55,53.0,Baz Luhrmann
Faster,2010,6.5,83788,98,23.23,44.0,George Tillman Jr.
The Neighbor,2016,5.8,4754,87,47.985,60.0,Marcus Dunstan
The Adjustment Bureau,2011,7.1,208632,106,62.45,59.5,George Nolfi
The Hollars,2016,6.5,5908,88,1.02,53.0,John Krasinski
The Judge,2014,7.4,146812,141,47.11,48.0,David Dobkin
Closed Circuit,2013,6.2,18437,96,5.73,50.0,John Crowley
Transformers: Revenge of the Fallen,2009,6.0,335757,150,402.08,35.0,Michael Bay
La tortue rouge,2016,7.6,11482,80,0.92,86.0,Michael Dudok de Wit
The Book of Life,2014,7.3,50388,95,50.15,67.0,Jorge R. Gutiérrez
Incendies,2010,8.2,92863,131,6.86,80.0,Denis Villeneuve
The Heartbreak Kid,2007,5.8,74664,116,36.77,46.0,Bobby Farrelly
Happy Feet,2006,6.5,141141,108,197.99,77.0,George Miller
Entourage,2015,6.6,64557,104,32.36,38.0,Doug Ellin
The Strangers,2008,6.2,96718,86,52.53,47.0,Bryan Bertino
Noah,2014,5.8,209700,138,101.16,68.0,Darren Aronofsky
Neighbors,2014,6.4,236500,97,150.06,68.0,Nicholas Stoller
Nymphomaniac: Vol. II,2013,6.7,65824,123,0.33,60.0,Lars von Trier
Wild,2014,7.1,95553,115,37.88,76.0,Jean-Marc Vallée
Grown Ups,2010,6.0,190385,102,162.0,30.0,Dennis Dugan
Blair Witch,2016,5.1,26088,89,20.75,47.0,Adam Wingard
The Karate Kid,2010,6.2,127983,140,176.59,61.0,Harald Zwart
Dark Shadows,2012,6.2,209326,113,79.71,55.0,Tim Burton
Friends with Benefits,2011,6.6,286543,109,55.8,63.0,Will Gluck
The Illusionist,2006,7.6,309934,110,39.83,68.0,Neil Burger
The A-Team,2010,6.8,219116,117,77.21,47.0,Joe Carnahan
The Guest,2014,6.7,71069,100,0.32,76.0,Adam Wingard
The Internship,2013,6.3,166342,119,44.67,42.0,Shawn Levy
Paul,2011,7.0,201707,104,37.37,57.0,Greg Mottola
This Beautiful Fantastic,2016,6.9,688,100,47.985,51.0,Simon Aboud
The Da Vinci Code,2006,6.6,338280,149,217.54,46.0,Ron Howard
Mr. Church,2016,7.7,16163,104,0.69,37.0,Bruce Beresford
Hugo,2011,7.5,259182,126,73.82,83.0,Martin Scorsese
The Blackcoat's Daughter,2015,5.6,4155,93,0.02,68.0,Oz Perkins
Body of Lies,2008,7.1,182305,128,39.38,57.0,Ridley Scott
Knight of Cups,2015,5.7,17439,118,0.56,53.0,Terrence Malick
The Mummy: Tomb of the Dragon Emperor,2008,5.2,124554,112,102.18,31.0,Rob Cohen
The Boss,2016,5.4,29642,99,63.03,40.0,Ben Falcone
Hands of Stone,2016,6.6,8998,111,4.71,54.0,Jonathan Jakubowicz
El secreto de sus ojos,2009,8.2,144524,129,20.17,80.0,Juan José Campanella
True Grit,2010,7.6,254904,110,171.03,80.0,Ethan Coen
We Are Your Friends,2015,6.2,25903,96,3.59,46.0,Max Joseph
A Million Ways to Die in the West,2014,6.1,144779,116,42.62,44.0,Seth MacFarlane
Only for One Night,2016,4.6,313,86,47.985,60.0,Chris Stokes
Rules Don't Apply,2016,5.7,3731,127,3.65,59.5,Warren Beatty
Ouija: Origin of Evil,2016,6.1,30035,99,34.9,65.0,Mike Flanagan
Percy Jackson: Sea of Monsters,2013,5.9,91684,106,68.56,39.0,Thor Freudenthal
Fracture,2007,7.2,148943,113,39.0,68.0,Gregory Hoblit
Oculus,2013,6.5,92875,104,27.69,61.0,Mike Flanagan
In Bruges,2008,7.9,322536,107,7.76,67.0,Martin McDonagh
This Means War,2012,6.3,154400,103,54.76,31.0,McG
Lída Baarová,2016,5.0,353,106,47.985,64.0,Filip Renc
The Road,2009,7.3,187302,111,0.06,59.5,John Hillcoat
Lavender,2016,5.2,2083,92,47.985,46.0,Ed Gass-Donnelly
Deuces,2016,6.6,256,87,47.985,36.0,Jamal Hill
Conan the Barbarian,2011,5.2,84893,113,21.27,59.5,Marcus Nispel
The Fighter,2010,7.8,290056,116,93.57,79.0,David O. Russell
August Rush,2007,7.5,91229,114,31.66,38.0,Kirsten Sheridan
Chef,2014,7.3,151970,114,31.24,68.0,Jon Favreau
Eye in the Sky,2015,7.3,57826,102,18.7,73.0,Gavin Hood
Eagle Eye,2008,6.6,156158,118,101.11,43.0,D.J. Caruso
The Purge,2013,5.7,154588,85,64.42,41.0,James DeMonaco
PK,2014,8.2,103279,153,10.57,51.0,Rajkumar Hirani
Ender's Game,2013,6.7,194236,114,61.66,59.5,Gavin Hood
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,351361,122,317.01,65.0,Steven Spielberg
Paper Towns,2015,6.3,72515,109,31.99,56.0,Jake Schreier
High-Rise,2015,5.7,25928,119,0.34,65.0,Ben Wheatley
Quantum of Solace,2008,6.6,347798,106,168.37,58.0,Marc Forster
The Assignment,2016,4.5,2043,95,47.985,34.0,Walter Hill
How to Train Your Dragon,2010,8.1,523893,98,217.39,74.0,Dean DeBlois
Lady in the Water,2006,5.6,82701,110,42.27,36.0,M. Night Shyamalan
The Fountain,2006,7.3,199193,96,10.14,51.0,Darren Aronofsky
Cars 2,2011,6.2,110490,106,191.45,57.0,John Lasseter
31,2016,5.1,10871,102,0.78,35.0,Rob Zombie
Final Girl,2015,4.7,9026,90,47.985,56.0,Tyler Shields
Chalk It Up,2016,4.8,499,90,47.985,59.5,Hisonni Johnson
The Man Who Knew Infinity,2015,7.2,29912,108,3.86,59.5,Matt Brown
Unknown,2011,6.9,218679,113,61.09,56.0,Jaume Collet-Serra
Self/less,2015,6.5,67196,117,12.28,34.0,Tarsem Singh
Mr. Brooks,2007,7.3,128146,120,28.48,45.0,Bruce A. Evans
Tramps,2016,6.5,1031,82,47.985,77.0,Adam Leon
Before We Go,2014,6.9,31370,95,0.04,31.0,Chris Evans
Captain Phillips,2013,7.8,346154,134,107.1,83.0,Paul Greengrass
The Secret Scripture,2016,6.8,378,108,47.985,37.0,Jim Sheridan
Max Steel,2016,4.6,11555,92,3.77,22.0,Stewart Hendler
Hotel Transylvania 2,2015,6.7,69157,89,169.69,44.0,Genndy Tartakovsky
Hancock,2008,6.4,366138,92,227.95,49.0,Peter Berg
Sisters,2015,6.0,50241,118,87.03,58.0,Jason Moore
The Family,2013,6.3,92868,111,36.92,42.0,Luc Besson
Zack and Miri Make a Porno,2008,6.6,154936,101,31.45,56.0,Kevin Smith
Ma vie de Courgette,2016,7.8,4370,66,0.29,85.0,Claude Barras
Man on a Ledge,2012,6.6,129252,102,18.6,40.0,Asger Leth
No Strings Attached,2011,6.2,178243,108,70.63,50.0,Ivan Reitman
Rescue Dawn,2006,7.3,87887,120,5.48,77.0,Werner Herzog
Despicable Me 2,2013,7.4,304837,98,368.05,62.0,Pierre Coffin
A Walk Among the Tombstones,2014,6.5,93883,114,25.98,57.0,Scott Frank
The World's End,2013,7.0,199813,109,26.0,81.0,Edgar Wright
Yoga Hosers,2016,4.3,7091,88,47.985,23.0,Kevin Smith
Seven Psychopaths,2012,7.2,196652,110,14.99,66.0,Martin McDonagh
Beowulf,2007,6.2,146566,115,82.16,59.0,Robert Zemeckis
Jack Ryan: Shadow Recruit,2014,6.2,103681,105,50.55,57.0,Kenneth Branagh
1408,2007,6.8,221073,104,71.98,64.0,Mikael Håfström
The Gambler,2014,6.0,52537,111,33.63,55.0,Rupert Wyatt
Prince of Persia: The Sands of Time,2010,6.6,233148,116,90.76,50.0,Mike Newell
The Spectacular Now,2013,7.1,115751,95,6.85,82.0,James Ponsoldt
A United Kingdom,2016,6.8,4771,111,3.9,65.0,Amma Asante
USS Indianapolis: Men of Courage,2016,5.2,4964,128,47.985,30.0,Mario Van Peebles
Turbo Kid,2015,6.7,19309,93,0.05,60.0,François Simard
Mama,2013,6.2,142560,100,71.59,57.0,Andrés Muschietti
Orphan,2009,7.0,153448,123,41.57,42.0,Jaume Collet-Serra
To Rome with Love,2012,6.3,72050,112,16.68,54.0,Woody Allen
Fantastic Mr. Fox,2009,7.8,149779,87,21.0,83.0,Wes Anderson
Inside Man,2006,7.6,285441,129,88.5,76.0,Spike Lee
I.T.,2016,5.4,8755,95,47.985,27.0,John Moore
127 Hours,2010,7.6,294010,94,18.33,82.0,Danny Boyle
Annabelle,2014,5.4,91106,99,84.26,37.0,John R. Leonetti
Wolves at the Door,2016,4.6,564,73,47.985,63.0,John R. Leonetti
Suite Française,2014,6.9,13711,107,47.985,59.5,Saul Dibb
The Imaginarium of Doctor Parnassus,2009,6.8,130153,123,7.69,65.0,Terry Gilliam
G.I. Joe: The Rise of Cobra,2009,5.8,180105,118,150.17,32.0,Stephen Sommers
Christine,2016,7.0,5855,119,0.3,72.0,Antonio Campos
Man Down,2015,5.8,4779,90,47.985,27.0,Dito Montiel
Crawlspace,2016,5.3,1427,88,47.985,25.0,Phil Claydon
Shut In,2016,4.6,5715,91,6.88,59.5,Farren Blackburn
The Warriors Gate,2016,5.3,1391,108,47.985,77.0,Matthias Hoene
Grindhouse,2007,7.6,160350,191,25.03,59.5,Robert Rodriguez
Disaster Movie,2008,1.9,77207,87,14.17,15.0,Jason Friedberg
Rocky Balboa,2006,7.2,171356,102,70.27,63.0,Sylvester Stallone
Diary of a Wimpy Kid: Dog Days,2012,6.4,16917,94,49.0,54.0,David Bowers
Jane Eyre,2011,7.4,67464,120,11.23,76.0,Cary Joji Fukunaga
Fool's Gold,2008,5.7,62719,112,70.22,29.0,Andy Tennant
The Dictator,2012,6.4,225394,83,59.62,58.0,Larry Charles
The Loft,2014,6.3,38804,108,5.98,24.0,Erik Van Looy
Bacalaureat,2016,7.5,5531,128,0.13,84.0,Cristian Mungiu
You Don't Mess with the Zohan,2008,5.5,163144,113,100.02,54.0,Dennis Dugan
Exposed,2016,4.2,8409,102,47.985,23.0,Gee Malik Linton
Maudie,2016,7.8,346,115,47.985,60.0,Aisling Walsh
Horrible Bosses 2,2014,6.3,125190,108,54.41,40.0,Sean Anders
A Bigger Splash,2015,6.4,15232,125,1.98,74.0,Luca Guadagnino
Melancholia,2011,7.1,137117,135,3.03,80.0,Lars von Trier
The Princess and the Frog,2009,7.1,95480,97,104.37,73.0,Ron Clements
Unstoppable,2010,6.8,157499,98,81.56,69.0,Tony Scott
Flight,2012,7.3,276347,138,93.75,76.0,Robert Zemeckis
Home,2015,6.7,77447,94,177.34,55.0,Tim Johnson
La migliore offerta,2013,7.8,77986,131,0.09,49.0,Giuseppe Tornatore
Mean Dreams,2016,6.3,1066,108,47.985,64.0,Nathan Morlando
42,2013,7.5,69659,128,95.0,62.0,Brian Helgeland
21,2008,6.8,198395,123,81.16,48.0,Robert Luketic
Begin Again,2013,7.4,111875,104,16.17,62.0,John Carney
Out of the Furnace,2013,6.8,88829,116,11.33,63.0,Scott Cooper
Vicky Cristina Barcelona,2008,7.1,208770,96,23.21,70.0,Woody Allen
Kung Fu Panda,2008,7.6,329788,92,215.4,73.0,Mark Osborne
Barbershop: The Next Cut,2016,5.9,9993,111,54.01,67.0,Malcolm D. Lee
Terminator Salvation,2009,6.6,297093,115,125.32,49.0,McG
Freedom Writers,2007,7.5,55648,123,36.58,64.0,Richard LaGravenese
The Hills Have Eyes,2006,6.4,136642,107,41.78,52.0,Alexandre Aja
Changeling,2008,7.8,206793,141,35.71,63.0,Clint Eastwood
Remember Me,2010,7.2,119376,113,19.06,40.0,Allen Coulter
Koe no katachi,2016,8.4,2421,129,47.985,80.0,Naoko Yamada
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,32310,81,66.95,54.0,Miguel Arteta
Locke,2013,7.1,100890,85,1.36,81.0,Steven Knight
The 9th Life of Louis Drax,2016,6.3,6175,108,47.985,41.0,Alexandre Aja
Horns,2013,6.5,61060,120,0.16,46.0,Alexandre Aja
Indignation,2016,6.9,7402,110,3.4,78.0,James Schamus
The Stanford Prison Experiment,2015,6.9,20907,122,0.64,67.0,Kyle Patrick Alvarez
Diary of a Wimpy Kid: Rodrick Rules,2011,6.6,20194,99,52.69,51.0,David Bowers
Mission: Impossible III,2006,6.9,270429,126,133.38,66.0,J.J. Abrams
En man som heter Ove,2015,7.7,21569,116,3.36,70.0,Hannes Holm
Dragonball Evolution,2009,2.7,59512,85,9.35,45.0,James Wong
Red Dawn,2012,5.4,64584,93,44.8,31.0,Dan Bradley
One Day,2011,7.0,113599,107,13.77,48.0,Lone Scherfig
Life as We Know It,2010,6.6,101301,114,53.36,39.0,Greg Berlanti
28 Weeks Later,2007,7.0,221858,100,28.64,78.0,Juan Carlos Fresnadillo
Warm Bodies,2013,6.9,193579,98,66.36,59.0,Jonathan Levine
Blue Jasmine,2013,7.3,160592,98,33.4,78.0,Woody Allen
G.I. Joe: Retaliation,2013,5.8,152145,110,122.51,41.0,Jon M. Chu
Wrath of the Titans,2012,5.8,159230,99,83.64,37.0,Jonathan Liebesman
Shin Gojira,2016,6.9,8365,120,1.91,68.0,Hideaki Anno
Saving Mr. Banks,2013,7.5,125693,125,83.3,65.0,John Lee Hancock
Transcendence,2014,6.3,184564,119,23.01,42.0,Wally Pfister
Rio,2011,6.9,173919,96,143.62,63.0,Carlos Saldanha
Equals,2015,6.1,16361,101,0.03,43.0,Drake Doremus
Babel,2006,7.5,253417,143,34.3,69.0,Alejandro González Iñárritu
The Tree of Life,2011,6.8,143517,139,13.3,85.0,Terrence Malick
The Lucky One,2012,6.5,82874,101,60.44,39.0,Scott Hicks
Piranha 3D,2010,5.5,75262,88,25.0,53.0,Alexandre Aja
50/50,2011,7.7,281625,100,34.96,72.0,Jonathan Levine
The Intent,2016,3.5,202,104,47.985,59.0,Femi Oyeniran
This Is 40,2012,6.2,108156,134,67.52,59.5,Judd Apatow
Real Steel,2011,7.1,264480,127,85.46,56.0,Shawn Levy
Sex and the City,2008,5.5,102547,145,152.64,53.0,Michael Patrick King
Rambo,2008,7.1,187077,92,42.72,46.0,Sylvester Stallone
Planet Terror,2007,7.1,174553,105,47.985,55.0,Robert Rodriguez
Concussion,2015,7.1,61274,123,34.53,59.5,Peter Landesman
The Fall,2006,7.9,93036,117,2.28,64.0,Tarsem Singh
The Ugly Truth,2009,6.5,172558,96,88.92,28.0,Robert Luketic
Bride Wars,2009,5.5,83976,89,58.72,24.0,Gary Winick
Sleeping with Other People,2015,6.5,27730,101,0.81,64.0,Leslye Headland
Snakes on a Plane,2006,5.6,118905,105,34.01,58.0,David R. Ellis
What If,2013,6.8,55243,98,3.45,59.0,Michael Dowse
How to Train Your Dragon 2,2014,7.9,237565,102,177.0,76.0,Dean DeBlois
RoboCop,2014,6.2,190833,117,58.61,52.0,José Padilha
In Dubious Battle,2016,6.2,1455,110,47.985,43.0,James Franco
"Hello, My Name Is Doris",2015,6.7,12361,95,14.44,63.0,Michael Showalter
Ocean's Thirteen,2007,6.9,269581,122,117.14,62.0,Steven Soderbergh
Slither,2006,6.5,64351,95,7.77,69.0,James Gunn
Contagion,2011,6.6,187004,106,75.64,70.0,Steven Soderbergh
Il racconto dei racconti - Tale of Tales,2015,6.4,17565,133,0.08,72.0,Matteo Garrone
I Am the Pretty Thing That Lives in the House,2016,4.7,4204,87,47.985,68.0,Oz Perkins
Bridge to Terabithia,2007,7.2,117297,96,82.23,74.0,Gabor Csupo
Coherence,2013,7.2,66265,89,0.07,65.0,James Ward Byrkit
Notorious,2009,6.7,33007,122,36.84,60.0,George Tillman Jr.
Goksung,2016,7.5,17962,156,0.79,81.0,Hong-jin Na
The Expendables 2,2012,6.6,257395,103,85.02,51.0,Simon West
The Girl Next Door,2007,6.7,19351,91,47.985,29.0,Gregory Wilson
Perfume: The Story of a Murderer,2006,7.5,199387,147,2.21,56.0,Tom Tykwer
The Golden Compass,2007,6.1,155078,113,70.08,51.0,Chris Weitz
Centurion,2010,6.4,67801,97,0.12,62.0,Neil Marshall
Scouts Guide to the Zombie Apocalypse,2015,6.3,31651,93,3.64,32.0,Christopher Landon
17 Again,2009,6.4,152808,102,64.15,48.0,Burr Steers
No Escape,2015,6.8,57921,103,27.29,38.0,John Erick Dowdle
Superman Returns,2006,6.1,246797,154,200.07,72.0,Bryan Singer
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,190244,117,281.28,45.0,Bill Condon
Precious,2009,7.3,91623,110,47.54,79.0,Lee Daniels
The Sea of Trees,2015,5.9,7475,110,0.02,23.0,Gus Van Sant
Good Kids,2016,6.1,3843,86,47.985,86.0,Chris McCoy
The Master,2012,7.1,112902,144,16.38,59.5,Paul Thomas Anderson
Footloose,2011,5.9,39380,113,51.78,58.0,Craig Brewer
If I Stay,2014,6.8,92170,107,50.46,46.0,R.J. Cutler
The Ticket,2016,5.4,924,97,47.985,52.0,Ido Fluk
Detour,2016,6.3,2205,97,47.985,46.0,Christopher Smith
The Love Witch,2016,6.2,4669,120,0.22,82.0,Anna Biller
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,137502,108,148.21,66.0,Adam McKay
The Human Centipede (First Sequence),2009,4.4,60655,92,0.18,33.0,Tom Six
Super,2010,6.8,64535,96,0.32,50.0,James Gunn
The Siege of Jadotville,2016,7.3,14689,108,47.985,83.0,Richie Smyth
Up in the Air,2009,7.4,279694,109,83.81,59.5,Jason Reitman
The Midnight Meat Train,2008,6.1,50255,98,0.07,58.0,Ryûhei Kitamura
The Twilight Saga: Eclipse,2010,4.9,192740,124,300.52,58.0,David Slade
Transpecos,2016,5.8,1292,86,47.985,73.0,Greg Kwedar
What's Your Number?,2011,6.1,62095,106,13.99,35.0,Mark Mylod
Riddick,2013,6.4,132098,119,42.0,49.0,David Twohy
Triangle,2009,6.9,72533,99,47.985,66.0,Christopher Smith
The Butler,2013,7.2,93322,132,116.63,59.5,Lee Daniels
King Cobra,2016,5.6,3990,91,0.03,48.0,Justin Kelly
After Earth,2013,4.9,166512,100,60.52,33.0,M. Night Shyamalan
Kicks,2016,6.1,2417,80,0.15,69.0,Justin Tipping
Me and Earl and the Dying Girl,2015,7.8,92076,105,6.74,74.0,Alfonso Gomez-Rejon
The Descendants,2011,7.3,211348,115,82.62,84.0,Alexander Payne
Sex and the City 2,2010,4.3,62403,146,95.33,27.0,Michael Patrick King
The Kings of Summer,2013,7.2,65653,95,1.29,61.0,Jordan Vogt-Roberts
Death Race,2008,6.4,173731,105,36.06,43.0,Paul W.S. Anderson
That Awkward Moment,2014,6.2,81823,94,26.05,36.0,Tom Gormican
Legion,2010,5.2,84158,100,40.17,32.0,Scott Stewart
End of Watch,2012,7.7,192190,109,40.98,68.0,David Ayer
3 Days to Kill,2014,6.2,73567,117,30.69,40.0,McG
Lucky Number Slevin,2006,7.8,271940,110,22.49,53.0,Paul McGuigan
Trance,2013,7.0,97141,101,2.32,61.0,Danny Boyle
Into the Forest,2015,5.9,10220,101,0.01,59.0,Patricia Rozema
The Other Boleyn Girl,2008,6.7,88260,115,26.81,50.0,Justin Chadwick
I Spit on Your Grave,2010,6.3,60133,108,0.09,27.0,Steven R. Monroe
Custody,2016,6.9,280,104,47.985,72.0,James Lapine
Inland Empire,2006,7.0,44227,180,47.985,59.5,David Lynch
L'odyssée,2016,6.7,1810,122,47.985,70.0,Jérôme Salle
The Walk,2015,7.3,92378,123,10.14,59.5,Robert Zemeckis
Wrecker,2015,3.5,1210,83,47.985,37.0,Micheal Bafaro
The Lone Ranger,2013,6.5,190855,150,89.29,59.5,Gore Verbinski
Texas Chainsaw 3D,2013,4.8,37060,92,34.33,62.0,John Luessenhop
Disturbia,2007,6.9,193491,105,80.05,59.5,D.J. Caruso
Rock of Ages,2012,5.9,64513,123,38.51,47.0,Adam Shankman
Scream 4,2011,6.2,108544,111,38.18,52.0,Wes Craven
Queen of Katwe,2016,7.4,6753,124,8.81,73.0,Mira Nair
My Big Fat Greek Wedding 2,2016,6.0,20966,94,59.57,37.0,Kirk Jones
Dark Places,2015,6.2,31634,113,47.985,39.0,Gilles Paquet-Brenner
Amateur Night,2016,5.0,2229,92,47.985,38.0,Lisa Addario
It's Only the End of the World,2016,7.0,10658,97,47.985,48.0,Xavier Dolan
The Skin I Live In,2011,7.6,108772,120,3.19,70.0,Pedro Almodóvar
Miracles from Heaven,2016,7.0,12048,109,61.69,44.0,Patricia Riggen
Annie,2014,5.3,27312,118,85.91,33.0,Will Gluck
Across the Universe,2007,7.4,95172,133,24.34,56.0,Julie Taymor
Let's Be Cops,2014,6.5,112729,104,82.39,30.0,Luke Greenfield
Max,2015,6.8,21405,111,42.65,47.0,Boaz Yakin
Your Highness,2011,5.6,87904,102,21.56,31.0,David Gordon Green
Final Destination 5,2011,5.9,88000,92,42.58,50.0,Steven Quale
Endless Love,2014,6.3,33688,104,23.39,30.0,Shana Feste
Martyrs,2008,7.1,63785,99,47.985,89.0,Pascal Laugier
Selma,2014,7.5,67637,128,52.07,59.5,Ava DuVernay
Underworld: Rise of the Lycans,2009,6.6,129708,92,45.8,44.0,Patrick Tatopoulos
Taare Zameen Par,2007,8.5,102697,165,1.2,42.0,Aamir Khan
Take Me Home Tonight,2011,6.3,45419,97,6.92,59.5,Michael Dowse
Resident Evil: Afterlife,2010,5.9,140900,97,60.13,37.0,Paul W.S. Anderson
Project X,2012,6.7,164088,88,54.72,48.0,Nima Nourizadeh
Secret in Their Eyes,2015,6.2,27585,111,47.985,45.0,Billy Ray
Hostel: Part II,2007,5.5,73152,94,17.54,46.0,Eli Roth
Step Up 2: The Streets,2008,6.2,70699,98,58.01,50.0,Jon M. Chu
Search Party,2014,5.6,4881,93,47.985,22.0,Scot Armstrong
Nine Lives,2016,5.3,12435,87,19.64,11.0,Barry Sonnenfeld
